timestep,susceptible,infected,recovered,compute_sec,comm_sec
1,35999991,9,0,0.066607,0.039245
10,35999763,174,63,0.475271,0.123356
20,35998995,603,402,0.857884,0.220107
30,35997513,1238,1249,1.288646,0.275145
40,35995454,1811,2735,1.660647,0.379133
50,35992575,2567,4858,2.135530,0.484174
60,35989012,3238,7750,2.538274,0.577245
70,35984917,3835,11248,2.964865,0.670075
80,35979934,4556,15510,3.403269,0.699520
90,35974232,5366,20402,3.781057,0.769466
100,35967941,6018,26041,4.154661,0.839685
110,35960863,6806,32331,4.552392,0.911232
120,35952767,7727,39506,4.949036,0.972758
130,35943972,8461,47567,5.395354,1.079678
140,35934742,9084,56174,5.858276,1.179283
150,35924404,9917,65679,6.302881,1.245774
160,35913340,10770,75890,6.701571,1.309629
170,35901644,11440,86916,7.048691,1.439688
180,35889306,12125,98569,7.448618,1.483736
190,35875983,12861,111156,7.835048,1.565087
200,35862417,13322,124261,8.204850,1.655132
210,35848029,13984,137987,8.603390,1.736206
220,35832843,14750,152407,8.987248,1.804166
230,35816880,15593,167527,9.399670,1.879558
240,35800194,16321,183485,9.768110,1.986947
250,35782387,17289,200324,10.151816,2.103100
260,35764023,18134,217843,10.566517,2.148163
270,35744907,18758,236335,10.925992,2.264534
280,35725240,19312,255448,11.340034,2.342279
290,35704782,20024,275194,11.693535,2.452716
300,35683916,20720,295364,12.074504,2.515584
310,35662195,21312,316493,12.444256,2.601623
320,35639655,22149,338196,12.791214,2.710493
330,35616344,23035,360621,13.147310,2.794191
340,35592382,23652,383966,13.517634,2.883717
350,35567358,24600,408042,13.899423,2.957729
360,35541867,25128,433005,14.316307,3.054175
370,35515069,26388,458543,14.678570,3.154336
380,35487819,26921,485260,15.056627,3.252141
390,35459709,27771,512520,15.439054,3.329502
400,35430923,28403,540674,15.829324,3.423062
410,35401719,29186,569095,16.220131,3.504105
420,35371777,29617,598606,16.591208,3.600805
430,35340826,30477,628697,16.965016,3.718783
440,35308902,31673,659425,17.344568,3.838051
450,35276358,32137,691505,17.808163,3.946458
460,35243124,32954,723922,18.194684,4.028061
470,35209203,33631,757166,18.574143,4.096187
480,35174399,34619,790982,18.952068,4.186062
490,35138808,35053,826139,19.329376,4.272627
500,35102772,35795,861433,19.673806,4.375978
