timestep,susceptible,infected,recovered,step_time_sec
0,35999995,5,0,0.000000
1,35999990,10,0,0.485239
2,35999980,19,1,0.118213
3,35999966,32,2,0.115187
4,35999943,48,9,0.118643
5,35999925,64,11,0.125784
6,35999902,82,16,0.127037
7,35999876,104,20,0.130333
8,35999846,123,31,0.168187
9,35999814,139,47,0.113009
10,35999777,163,60,0.112502
11,35999734,190,76,0.113785
12,35999690,211,99,0.113667
13,35999636,249,115,0.115940
14,35999577,292,131,0.126053
15,35999502,335,163,0.120134
16,35999438,366,196,0.117602
17,35999347,424,229,0.124572
18,35999268,464,268,0.115385
19,35999179,513,308,0.113953
20,35999070,572,358,0.113698
21,35998942,641,417,0.123790
22,35998821,710,469,0.121176
23,35998682,788,530,0.118444
24,35998529,858,613,0.125082
25,35998371,928,701,0.118899
26,35998224,969,807,0.114676
27,35998070,1020,910,0.117310
28,35997907,1081,1012,0.115312
29,35997731,1146,1123,0.117038
30,35997558,1212,1230,0.116269
31,35997382,1270,1348,0.124533
32,35997169,1359,1472,0.112228
33,35996968,1426,1606,0.122057
34,35996759,1497,1744,0.116831
35,35996552,1559,1889,0.118645
36,35996343,1603,2054,0.115392
37,35996133,1640,2227,0.115854
38,35995897,1709,2394,0.138306
39,35995635,1792,2573,0.129900
40,35995405,1859,2736,0.122050
41,35995151,1929,2920,0.127502
42,35994892,1981,3127,0.118489
43,35994620,2057,3323,0.122423
44,35994327,2169,3504,0.115627
45,35994062,2191,3747,0.119371
46,35993750,2293,3957,0.115605
47,35993479,2337,4184,0.125759
48,35993170,2411,4419,0.125649
49,35992859,2478,4663,0.119085
50,35992521,2593,4886,0.121686
51,35992198,2624,5178,0.131180
52,35991912,2651,5437,0.113084
53,35991576,2712,5712,0.115698
54,35991227,2784,5989,0.116309
55,35990891,2862,6247,0.116504
56,35990528,2949,6523,0.118484
57,35990138,3045,6817,0.117534
58,35989790,3073,7137,0.120657
59,35989417,3126,7457,0.122483
60,35989033,3197,7770,0.119385
61,35988639,3265,8096,0.125535
62,35988253,3304,8443,0.113510
63,35987867,3379,8754,0.113992
64,35987475,3409,9116,0.133368
65,35987071,3494,9435,0.117457
66,35986649,3568,9783,0.119659
67,35986227,3602,10171,0.125971
68,35985816,3662,10522,0.134953
69,35985375,3717,10908,0.119086
70,35984937,3773,11290,0.110967
71,35984478,3859,11663,0.117694
72,35984013,3929,12058,0.119993
73,35983516,4038,12446,0.118411
74,35983014,4138,12848,0.135054
75,35982498,4240,13262,0.119435
76,35981958,4372,13670,0.120618
77,35981409,4501,14090,0.122416
78,35980864,4612,14524,0.114319
79,35980354,4686,14960,0.118098
80,35979817,4751,15432,0.117408
81,35979293,4834,15873,0.123140
82,35978744,4882,16374,0.118121
83,35978206,4926,16868,0.121656
84,35977636,4986,17378,0.115103
85,35977083,5035,17882,0.115712
86,35976480,5156,18364,0.117535
87,35975908,5169,18923,0.241020
88,35975339,5206,19455,0.117696
89,35974743,5312,19945,0.112839
90,35974159,5382,20459,0.122399
91,35973547,5437,21016,0.124327
92,35972948,5485,21567,0.134322
93,35972360,5561,22079,0.166749
94,35971780,5608,22612,0.193223
95,35971138,5734,23128,0.141694
96,35970436,5834,23730,0.116848
97,35969771,5883,24346,0.141869
98,35969078,5991,24931,0.120749
99,35968408,6057,25535,0.125111
100,35967713,6127,26160,0.114698
101,35967017,6190,26793,0.116402
102,35966320,6261,27419,0.117930
